index,author,retweet,month,content,media type,group,chapter,group_fix
8484,biasona_1,tweet,11,"Non Ë pi˘ tempo di scriver libri, nemmeno per scherzo. Come sempre devo ripetere: Mannaggia a te Copernico! #MattiaTw//Capitolo2492CMD2812",NA,O2,2,NR
8485,biasona_1,tweet,11,"Oramai tutti noi ci siamo rassegnati alla nostra piccolezza, a valutarci niente nell' Universo. #MattiaTw//Capitolo2492CMD2812",NA,O2,2,NR
10459,EnsusCastaldo12,tweet,11,"Povera questa Terra stanca di girare, forse per via degli uomini che non sono mai stati cosÏ stupidi.#MattiaTw/Capitolo2492CVC167""""",NA,O2,2,NR
13818,mery130415,tweet,11,"Ma Ë vero che non si sono mai scritti libri cosÏ piccoli,in posti cosÏ particolari.#MattiaTw/Capitolo2492CMI2211""""",NA,O2,2,NR
13819,mery130415,tweet,11,"Non mi sembra pi˘ tempo di scrivere libri nemmeno per scherzo.#MattiaTw/Capitolo2492CMI2211""""",NA,O2,2,NR
13820,mery130415,tweet,11,"Per l'uomo il mondo non girava e per alcuni nemmeno oggi gira.#MattiaTw/Capitolo2492CMI2211""""",NA,O2,2,NR
15640,mscognamiglio54,retweet,11,RT  @biasona_1: ?L'uomo si distrae facilmente...?#MattiaTw/Capitolo2492CMD2812,NA,O2,2,NR
15641,mscognamiglio54,retweet,11,"RT  @biasona_1: ?Oramai tutti noi ci siamo rassegnati all'idea della nostra inutilit‡, a valutarci niente nell'Universo.?#MattiaTw/Capitolo2492CMD2812",NA,O2,2,NR
15644,mscognamiglio54,retweet,11,RT  @biasona_1: îùL'uomo si distrae facilmente...îù#MattiaTw/Capitolo2492CMD2812,NA,O2,2,NR
15649,mscognamiglio54,retweet,11,"RT  @biasona_1: Non Ë pi˘ tempo di scriver libri, neanche per scherzo. Come sempre devo ripetere: Mannaggia a te Copernico!""""#MattiaTw/Capitolo2492CMD2812""""",NA,O2,2,NR
3665,2dBarsanti,tweet,11,#MattiaTw(712DAV2701)/06Il gioco Ë una brutta bestia e puÚ portare anche alla morte.. tac tac tac..,NA,B,6,B
3666,2dBarsanti,tweet,11,#MattiaTw(712DAV2701)/08La libert‡ da tutto e tutti non Ë necessariamente la felicit‡,NA,B,8,B
3667,2dBarsanti,tweet,11,#MattiaTw(712DAV2701)/08La libert‡ da tutto e tutti non Ë necessariamente la felicit‡†,NA,B,8,B
3668,2dBarsanti,tweet,11,#MattiaTw(712DAV2710)/09Libert‡ o solitudine?Felicit‡ o tristezza?,NA,B,9,B
3673,2dBarsanti,tweet,11,"#MattiaTw(712DFM92)/03 'come una cieca,s'era abbandonata alla guida del marito  rimastane senza, si sentÏ sperduta nel mondo ?? '",NA,B,3,B
3674,2dBarsanti,tweet,11,"#MattiaTw(712DFM92)/03 'come una cieca,s'era abbandonata alla guida del marito  rimastane senza, si sentÏ sperduta nel mondo üåé '",NA,B,3,B
3675,2dBarsanti,tweet,11,#MattiaTw(712DFM92)/04 'si mise a malmenarla senza alcun ritegno' Classica visione dell'uomo che maschera la sua fragilit‡ con la violenza,NA,B,4,B
3676,2dBarsanti,tweet,11,"#MattiaTw(712DFM92)/05 'Pesano tanto (i libri): eppure, chi se ne ciba e  se li mette in corpo, vive tra le nuvole' ?? ??",NA,B,5,B
3677,2dBarsanti,tweet,11,"#MattiaTw(712DFM92)/05 'Pesano tanto (i libri): eppure, chi se ne ciba e  se li mette in corpo, vive tra le nuvole' ‚òÅÔ∏è üçÉ",NA,B,5,B
3678,2dBarsanti,tweet,11,"#MattiaTw(712DFM92)/06 'Affascinavo la fortuna, legavo al mio il suo capriccio'",NA,B,6,B
3679,2dBarsanti,tweet,1,"#MattiaTw(712DFM92)/11'Le anime hanno un loro particolar modo d'intendersi,d'entrare in intimit‡, fino a darsi del tu'",NA,B,11,B
17927,TwLetteratura,retweet,11,RT  @2dBarsanti: #MattiaTw(712DAV2701)/08La libert‡ da tutto e tutti non Ë necessariamente la felicit‡,NA,O2,8,organizers
17928,TwLetteratura,retweet,11,RT  @2dBarsanti: #MattiaTw(712DFM92)/04 'si mise a malmenarla senza alcun ritegno' Classica visione dell'uomo che maschera la sua fragilit‡ con la violenza,NA,O2,4,organizers
6764,5E_Federico,tweet,11,#MattiaTw 06 La roulette porter‡ fortuna al nostro Mattia per rifarsi una vita? #chelafortunasiaconte(585EDC711),NA,B,6,B
6838,adelaid93680776,retweet,1,"RT  @ParatoreJessica: #MattiaTw/XVII(552BJP911) Finalmente torno a vivere!Ad essere io,Mattia Pascal.Ora non ho pi˘ paura di essere scoperto e di dover mentire.",NA,O2,17,NR
6839,adelaid93680776,retweet,1,"RT  @ParatoreJessica: #MattiaTw/XVII(552BJP911) Finalmente torno a vivere!Ad essere io,Mattia Pascal.Ora non ho pi˘ paura di essere scopertoÖ",NA,O2,17,NR
9275,DatoFlora,retweet,1,"RT  @ParatoreJessica: #MattiaTw/XVII(552BJP911) Finalmente torno a vivere!Ad essere io,Mattia Pascal.Ora non ho pi˘ paura di essere scoperto e di dover mentire.",NA,O2,17,NR
9276,DatoFlora,retweet,1,"RT  @ParatoreJessica: #MattiaTw/XVII(552BJP911) Finalmente torno a vivere!Ad essere io,Mattia Pascal.Ora non ho pi˘ paura di essere scopertoÖ",NA,O2,17,NR
13264,KekkaLuigi,retweet,1,"RT  @ParatoreJessica: #MattiaTw/XVII(552BJP911) Finalmente torno a vivere!Ad essere io,Mattia Pascal.Ora non ho pi˘ paura di essere scoperto e di dover mentire.",NA,O2,17,NR
13265,KekkaLuigi,retweet,1,"RT  @ParatoreJessica: #MattiaTw/XVII(552BJP911) Finalmente torno a vivere!Ad essere io,Mattia Pascal.Ora non ho pi˘ paura di essere scopertoÖ",NA,O2,17,NR
13627,marialeoetigro1,tweet,1,#MattiaTw/XIV(552BMR2310)Ma un bellissimo bacio le fu scoccato su la guancia.,NA,O2,14,NR
13628,marialeoetigro1,tweet,1,"#MattiaTw/XV(552BMR2310)La vita mi aveva trascinato,con la sua foga irresistibile:la vita non era pi˘ per me.",NA,O2,15,NR
13629,marialeoetigro1,tweet,1,#MattiaTw/XVI(552BMR2310),NA,O2,15,NR
13630,marialeoetigro1,tweet,1,"#MattiaTw/XVI(552BMR2310)Sentii soffocarmi dalla nausea,dall'ira,dall'odio per me stesso.",NA,O2,15,NR
13631,marialeoetigro1,tweet,1,"#MattiaTw/XVII(552BMR2310)Mi s'annebbiava la vista, a pensarci, mi s'oscuravano il cielo e il mare,il sangue mi frizzava per le vene.",NA,O2,17,NR
13632,marialeoetigro1,tweet,1,"#MattiaTw/XVIII(552BMR2310)Oh paesello mio addormentato, che scompiglio dimani, alla notizia della mia resurrezione!",NA,O2,18,NR
15178,ParatoreJessica,tweet,1,"#MattiaTw/XIII(552BJP911)Dopo alcuni giorni di quel buio totale,il mio desiderio pi˘ profondo era di essere confortato solo da quella donna.",NA,O2,13,NR
15185,ParatoreJessica,tweet,1,"#MattiaTw/XVII(552BJP911) Finalmente torno a vivere!Ad essere io,Mattia Pascal.Ora non ho pi˘ paura di essere scoperto e di dover mentire.",NA,O2,17,NR
17735,TaninaCona,retweet,1,"RT  @ParatoreJessica: #MattiaTw/XVII(552BJP911) Finalmente torno a vivere!Ad essere io,Mattia Pascal.Ora non ho pi˘ paura di essere scoperto e di dover mentire.",NA,O2,17,NR
6114,5B_vico,tweet,11,"#285Bcd412 #MattiaTW/08  Il pi˘ grande spreco nel mondo Ë la differenza tra ciÚ che siamo e ciÚ che potremmo diventare."""" -Ben Herbster""""",NA,B,8,B
13699,lorussoGianluc,retweet,11,"RT  @xabi_antonello: Io parlerÚ di me, quanto pi˘ brevemente possibile, dando soltanto quelle notizie che stimerÚ necessarie...#260pagine #MattiaTW/02 (585DGS188)",NA,O2,2,NR
16530,RossGiorgio98,retweet,11,"RT  @xabi_antonello: Io parlerÚ di me, quanto pi˘ brevemente possibile, dando soltanto quelle notizie che stimerÚ necessarie...#260pagine #MattiaTW/02 (585DGS188)",NA,O2,2,NR
17302,xabi_antonello,tweet,11,"Io parlerÚ di me, quanto pi˘ brevemente possibile, dando soltanto quelle notizie che stimerÚ necessarie...#260pagine #MattiaTW/02 (585DGS188)",NA,O2,2,NR
18688,TwLetteratura,retweet,11,"RT  @xabi_antonello: Io parlerÚ di me, quanto pi˘ brevemente possibile, dando soltanto quelle notizie che stimerÚ necessarie...#260pagine #MattiaTW/02 (585DGS188)",NA,O2,2,organizers
1309,ExLibris2012,tweet,1,E infatti la realt‡ supera la fantasia... #MattiaTW/20  #theend #fine  @MattiaPascalTw  @AdrianoMeisTw  @TwLetteratura grazie a tutti voi!,NA,O2,20,A
2690,2Bafm,tweet,1,#MattiaTW/20  Le nostre vite possono tramutarsi in ciÚ che chiamiamo arte oppure con incontri inverosimili che ne ricamano le sfumature -isdp,NA,O1,20,OtherReg
2770,2BSCirillo,tweet,1,"#MattiaTW/20  122BDD281  Il ritorno del finto morto e finanche l'omaggio alla propria tomba """"",NA,B,20,B
6840,adelaideant83,retweet,1,"RT  @adelaid93680776: #MattiaTW/20  (552BAV2310)        Ë come atto di omaggio alla sua memoria, ha depositato sul titolo un fragrante mazzo di fiori",NA,O2,20,NR
6841,adelaideant83,retweet,1,"RT  @adelaid93680776: #MattiaTW/20  (552BAV2310)        Ë come atto di omaggio alla sua memoria, ha depositato sul titolo un fragrante mazzoÖ",NA,O2,20,NR
7239,5E_Federico,tweet,1,"#MattiaTW/20  Piccole cose,momenti accidentali compaiono all'improvviso e cambiano la direzione della nostra vita. (585EPC147)",NA,B,20,B
7240,5E_Federico,tweet,1,"#MattiaTW/20 :Mavoisietemorto!IlvostrodomiciliolegaleealcimiterodiMusocco,campocomunale44,fossaN.550..""""(585EML3112)""""",NA,B,20,B
7395,AnnaAnnacisa,retweet,1,"RT  @adelaid93680776: #MattiaTW/20  (552BAV2310)        Ë come atto di omaggio alla sua memoria, ha depositato sul titolo un fragrante mazzo di fiori",NA,O2,20,NR
7396,AnnaAnnacisa,retweet,1,"RT  @adelaid93680776: #MattiaTW/20  (552BAV2310)        Ë come atto di omaggio alla sua memoria, ha depositato sul titolo un fragrante mazzoÖ",NA,O2,20,NR
7579,5H_Federico,tweet,1,#MattiaTW/20  Ogni protesta di colui che voleva essere dichiarato vivo fu inutile (Ale16),NA,O1,20,OtherReg
7580,5H_Federico,tweet,1,"#MattiaTW/20 (v.lo98)Come atto di omaggio alla sua memoria, il signor Casati ha deposto sul tumulo un fragrante mazzo di fiori e un lumino.""""",NA,O1,20,OtherReg
7581,5H_Federico,tweet,1,"#MattiaTW/20 (VE) Il mondo nasconde segreti che agli occhi dell'uomo possono sembrare assurdit‡ ma che,invece,fanno parte della realt‡ umana.",NA,O1,20,OtherReg
8076,adelaid93680776,tweet,1,"#MattiaTW/20  (552BAV2310)        Ë come atto di omaggio alla sua memoria, ha depositato sul titolo un fragrante mazzo di fiori",NA,O2,20,NR
8077,adelaid93680776,tweet,1,"#MattiaTW/20  (552BGG249)             Ma voi siete morto! Il vostro domicilio legale Ë al cimitero di Musocco campo comune 44, fossa n. 550.",NA,O2,20,NR
8253,CinziaInfanzia,retweet,1,"RT  @adelaid93680776: #MattiaTW/20  (552BAV2310)        Ë come atto di omaggio alla sua memoria, ha depositato sul titolo un fragrante mazzo di fiori",NA,O2,20,NR
8254,CinziaInfanzia,retweet,1,"RT  @adelaid93680776: #MattiaTW/20  (552BAV2310)        Ë come atto di omaggio alla sua memoria, ha depositato sul titolo un fragrante mazzoÖ",NA,O2,20,NR
8993,classe5ia2016,tweet,12,"Alla fine Mattia ritorna in biblioteca, ma Ë ricordato da tutti ed Ë famoso in tutto il mondo, senza ripetere il suo nome A.D. #MattiaTW/20",NA,O2,20,OtherReg
9116,classe5ia2016,tweet,12,"IL FU si risveglia dal sonno profondo causa di questa storia e : O PERBACCO!Tutti questi libri mi hanno dato alla testa"""".O.S #MattiaTW/20 """"",NA,O2,20,OtherReg
9230,classe5ia2016,tweet,12,Mattia si sveglia da un brutto incubo e scopre che gli avvenimenti accaduti erano frutto della sua fantasia. F.D. #MattiaTW/20,NA,O2,20,OtherReg
9269,DatoFlora,retweet,1,"RT  @adelaid93680776: #MattiaTW/20  (552BAV2310)        Ë come atto di omaggio alla sua memoria, ha depositato sul titolo un fragrante mazzo di fiori",NA,O2,20,NR
9270,DatoFlora,retweet,1,"RT  @adelaid93680776: #MattiaTW/20  (552BAV2310)        Ë come atto di omaggio alla sua memoria, ha depositato sul titolo un fragrante mazzoÖ",NA,O2,20,NR
9293,classe5ia2016,tweet,12,"Scoprendo del figlio ileggittimo, a Mattia gli viene un infarto per il dolore e muore... Per davvero stavolta. D.D #MattiaTW/20",NA,O2,20,OtherReg
9294,classe5ia2016,tweet,12,"Se qualcuno dovesse vedermi al cimitero e chiedermi -perchË sono qui-, io rispondo per un mio carissimo amico"""" MB #MattiaTW/20 """"",NA,O2,20,OtherReg
9975,ClasseIIIA_Redi,tweet,1,"#MattiaTW/20  #LArticoloDelCorriere:la rivincita del Casati sulla moglie,di Pirandello sui critici,di Mattia sugli scrupoli della fantasiaMc",NA,A,20,A
9976,ClasseIIIA_Redi,tweet,1,#MattiaTW/20  ?Il fu Mattia Pascal ed il signor Casati hanno ufficialmente stretto amicizia.? #FintiMortiAiTempiDiFacebook-MN,NA,A,20,A
9977,ClasseIIIA_Redi,tweet,1,"#MattiaTW/20  Casati come Pascal, la Tedeschi come Romilda: intreccio tra arte e vita. Ma e' la vita che copia  dall'arte?-LM",NA,A,20,A
9978,ClasseIIIA_Redi,tweet,1,"#MattiaTW/20  CiÚ che pare assurdo a te, Ë normale per me. #soggettivit‡ -MN",NA,A,20,A
9979,ClasseIIIA_Redi,tweet,1,"#MattiaTW/20  La vita Ë l'arte dei semplici,non l'artificio dei complessi:non segue le imposizioni della ragione,insegue le ragioni del ?-Mc",NA,A,20,A
9980,ClasseIIIA_Redi,tweet,1,"#MattiaTW/20  Pirandello vs critici: se si schierassero in battaglia arte e vita vincerebbe UN uomo, perderebbe L'uomo.-Mc",NA,A,20,A
9981,ClasseIIIA_Redi,tweet,1,"#MattiaTW/20  Quando la fantasia e l'arte si incontrano ?esplode? la vita: no forma, no maschere, semplicemente vita! ??-Mc",NA,A,20,A
9982,ClasseIIIA_Redi,tweet,1,"#MattiaTW/20  Quando la fantasia e l'arte si incontrano ìesplodeîù la vita: no forma, no maschere, semplicemente vita! üí•-Mc",NA,A,20,A
12379,Immaborri,retweet,1,"RT  @adelaid93680776: #MattiaTW/20  (552BAV2310)        Ë come atto di omaggio alla sua memoria, ha depositato sul titolo un fragrante mazzo di fiori",NA,O2,20,NR
12380,Immaborri,retweet,1,"RT  @adelaid93680776: #MattiaTW/20  (552BAV2310)        Ë come atto di omaggio alla sua memoria, ha depositato sul titolo un fragrante mazzoÖ",NA,O2,20,NR
13260,KekkaLuigi,retweet,1,"RT  @adelaid93680776: #MattiaTW/20  (552BAV2310)        Ë come atto di omaggio alla sua memoria, ha depositato sul titolo un fragrante mazzo di fiori",NA,O2,20,NR
13261,KekkaLuigi,retweet,1,"RT  @adelaid93680776: #MattiaTW/20  (552BAV2310)        Ë come atto di omaggio alla sua memoria, ha depositato sul titolo un fragrante mazzoÖ",NA,O2,20,NR
13397,LindaIapichino,tweet,1,"#MattiaTW/20  Caso di bigamia. Riconosciuto il marito in un annegato, lei si risposa. Uscito dal carcere, lui depone fiori alla sua tomba",NA,A,20,A
13398,LindaIapichino,tweet,1,#MattiaTW/20  di quali reali inverosimiglianze Ë capace la vita!,NA,A,20,A
13493,Leti4Rim,retweet,1,RT  @vera_valletta: #MattiaTW/20 Maschera e marionetta di se stessi o maschera nuda?,NA,O2,20,NR
13997,manuelaclaps,retweet,1,"RT  @adelaid93680776: #MattiaTW/20  (552BAV2310)        Ë come atto di omaggio alla sua memoria, ha depositato sul titolo un fragrante mazzo di fiori",NA,O2,20,NR
14239,mariacarmtrovat,retweet,1,"RT  @adelaid93680776: #MattiaTW/20  (552BAV2310)        Ë come atto di omaggio alla sua memoria, ha depositato sul titolo un fragrante mazzo di fiori",NA,O2,20,NR
14302,MariaSillitto,retweet,1,"RT  @adelaid93680776: #MattiaTW/20  (552BAV2310)        Ë come atto di omaggio alla sua memoria, ha depositato sul titolo un fragrante mazzo di fiori",NA,O2,20,NR
14303,MariaSillitto,retweet,1,"RT  @adelaid93680776: #MattiaTW/20  (552BAV2310)        Ë come atto di omaggio alla sua memoria, ha depositato sul titolo un fragrante mazzoÖ",NA,O2,20,NR
14859,MattiaPascalTw,retweet,1,RT  @annina3105: #MattiaTW/20   @spinelli4ia  @classe5ia2016  @TwLetteratura  @MattiaPascalTw  @AdrianoMeisTw https://t.co/gCX0AX1lEG,NA,O2,20,organizers
15070,MrEnzo3784,tweet,1,"#MattiaTW/20  Ma voi siete morto! Il vostro domicilio legale Ë al cimitero di Musocco, campo comune 44, dossa n.550. (552BVR611)",NA,O2,20,NR
15188,MikyIada,retweet,1,"RT  @adelaid93680776: #MattiaTW/20  (552BAV2310)        Ë come atto di omaggio alla sua memoria, ha depositato sul titolo un fragrante mazzo di fiori",NA,O2,20,NR
15189,MikyIada,retweet,1,"RT  @adelaid93680776: #MattiaTW/20  (552BAV2310)        Ë come atto di omaggio alla sua memoria, ha depositato sul titolo un fragrante mazzoÖ",NA,O2,20,NR
15241,monicaman73,retweet,1,"RT  @adelaid93680776: #MattiaTW/20  (552BAV2310)        Ë come atto di omaggio alla sua memoria, ha depositato sul titolo un fragrante mazzo di fiori",NA,O2,20,NR
15242,monicaman73,retweet,1,"RT  @adelaid93680776: #MattiaTW/20  (552BAV2310)        Ë come atto di omaggio alla sua memoria, ha depositato sul titolo un fragrante mazzoÖ",NA,O2,20,NR
15809,spinelli4ia,tweet,12,Adriano Meis si sveglia credendo di chiamarsi Mattia Pascal e di aver vissuto tutte queste drammatiche vicende !  ) DM #MattiaTW/20,NA,O2,20,OtherReg
15819,spinelli4ia,tweet,12,Adriano quando torna a casa incontra Mattia Pascal e capendo di essere frutto dell'immaginazione scompare nell'eternit‡†AL #MattiaTW/20,NA,O2,20,OtherReg
15820,spinelli4ia,tweet,12,Adriano quando torna a casa incontra Mattia Pascal e capendo di essere frutto dell'immaginazione scompare nell'eternit‡AL #MattiaTW/20,NA,O2,20,OtherReg
15826,spinelli4ia,tweet,12,Alla fine di tutto era solamente un sogno :D. DS #MattiaTW/20,NA,O2,20,OtherReg
15828,spinelli4ia,tweet,12,"Alla fine Mattia ritorna in biblioteca, Ë famoso in tutto il mondo ed Ë ricordato da tutti, senza ripetere il suo nome GC #MattiaTW/20",NA,O2,20,OtherReg
15829,spinelli4ia,tweet,12,"Alla fine tutto quello che pensava mattia fosse reale, in realt‡ era solo un sogno. KS #MattiaTW/20 """"",NA,O2,20,OtherReg
15958,spinelli4ia,tweet,12,La moglie di mattia si desta dal suo sogno controllando che il tanto amato marito  si ancora accanto a lei. AB #MattiaTW/20,NA,O2,20,OtherReg
15975,PrestiPaola,retweet,1,"RT  @adelaid93680776: #MattiaTW/20  (552BAV2310)        Ë come atto di omaggio alla sua memoria, ha depositato sul titolo un fragrante mazzo di fiori",NA,O2,20,NR
15976,PrestiPaola,retweet,1,"RT  @adelaid93680776: #MattiaTW/20  (552BAV2310)        Ë come atto di omaggio alla sua memoria, ha depositato sul titolo un fragrante mazzoÖ",NA,O2,20,NR
16020,spinelli4ia,tweet,12,"Mattia accetta il matrimonio tra pomino e adriana, rimane in buoni rapporti, e si costruisce anche lui una nuova famiglia MM #MattiaTW/20",NA,O2,20,OtherReg
16021,spinelli4ia,tweet,12,"Mattia arrivato a Miragno scopre di aver lasciato Romilda incinta, e che quindi ora Ë padre ...scoppia la scintilla dell'amore. #MattiaTW/20",NA,O2,20,OtherReg
16026,spinelli4ia,tweet,12,"Mattia arrivato a Miragno scopre di aver lasciato Romilda incinta, e che quindi ora Ë padre, scoppia la scintilla dell'amore.#MattiaTW/20  SB",NA,O2,20,OtherReg
16030,spinelli4ia,tweet,12,"Mattia decide di iniziare una nuova vita, diventando un pittore ed illustrando nei suoi quadri le sue avventure. ER #MattiaTW/20",NA,O2,20,OtherReg
16060,spinelli4ia,tweet,12,Mattia non torna a casa e rincomincia la vita in un altro paese con un altra famiglia.AF #MattiaTW/20,NA,O2,20,OtherReg
16065,spinelli4ia,tweet,12,Mattia rinuncia ad Adriana e decide di crearsi una nuova famiglia dove nessuno lo conosce e nessuno conosce il suo passato. SM #MattiaTW/20,NA,O2,20,OtherReg
16069,spinelli4ia,tweet,12,Mattia ritorna con la moglie perÚ lasciando il suo lavoro da bibliotecario e cercando un nuovo lavoro per rifarsi una vita AR #MattiaTW/20,NA,O2,20,OtherReg
16072,spinelli4ia,tweet,12,Mattia scuote la testa e si rende conto che tutto cio che credeva di aver visto era una visione del suo futuro. MI #MattiaTW/20,NA,O2,20,OtherReg
16087,spinelli4ia,tweet,12,"Mattia si risveglia dal coma,ha rischiato la vita, ma appena sveglio le sue prime parole furono : dove sono tutti quanti?"""" YB  #MattiaTW/20 """"",NA,O2,20,OtherReg
16098,spinelli4ia,tweet,12,Mattia torna a casa e sua moglie Ë pronta ad accoglierlo... RN #MattiaTW/20,NA,O2,20,OtherReg
16099,spinelli4ia,tweet,12,Mattia torna da sua moglie per ricominciare una nuova vita senza pi˘ fingere e lasciandosi alle spalle tulle se vuoi vicende.ML #MattiaTW/20,NA,O2,20,OtherReg
16100,spinelli4ia,tweet,12,Mattia torna da sua moglie per ricominciare una nuova vita senza pi˘ fingere e lasciandosi alle spalle tutte se vuoi vicende.ML #MattiaTW/20,NA,O2,20,OtherReg
16129,spinelli4ia,tweet,12,Mi resi conto che quel peso che avrei preso resuscitando era molto pi˘ grande di quello che avevo e sparii nella mia ombra . DL #MattiaTW/20,NA,O2,20,OtherReg
17269,vera_valletta,tweet,1,#MattiaTW/20 Maschera e marionetta di se stessi o maschera nuda?,NA,A,20,A
