ID,Group,Text,Category
1003078,groupA,adriano meis mi calzava a pennello ma l'euforia era tale che già mi stava stretto,Interpretation
1001410,groupB,senti il vuotola talpa la talpa ma soltanto sua madre non se ne accorgi e,Reuse
1009418,groupB,la strega non era felice che mattia fosse il padre del nipote e nei suoi confronti c'era tanta gelosia,Interpretation
1012333,groupO1,ed ecco che mattia vuole lasciarsi tutto alle spalle finge così un suicidio e torna a casa,Summary
1008372,groupO2,l'esperienza di su storify capp via,Reader reaction
1003768,groupO1,l unica salvezza alla quale aggrapparsi per quell anima gracile era vedere i propri figli felici aveva tenerezza,Interpretation
1010071,groupB,io sono il fu mattia pascal,Reuse
1006797,groupO1,mattia vuole beffare il malagna e ci riesce ma il beffatore rimane beffato dovendosi prendere in moglie romilda,Summary
1004925,groupB,adriano è proprio come l'albero di cui parla paleari è vivo ma non si sente vivere,Interpretation
1011296,groupO2,un libro che mi ha colpito permette di analizzare fino in fondo come sarebbe la vita senza regole e costrizioni,Reader reaction
