ID,Group,Text
1012852,groupO1,mattia si rende conto assumendo un'identità fittizia di essere diventato l'ombra di un uomo.ml
1004866,groupO1,mattia conversa con un canarino in gabbia ma quel canarino nella gabbia è lui che infatti può parlare solo con sè stesso
1000225,groupB,essere o non essere questo è il problemawilliam shakespeare
1007396,groupB,aceddu nta aggia non canta p'amuri ma pi raggia uccello in gabbia non canta per amore ma per rabbia
1003052,groupB,e fu così che il nostro caro mattia si ritrova in un mondo nuovo senza nessuno al suo fianco un nuovo inizio
1006556,groupB,il buio è veramente immaginariooppure contiene e rivela qualcosa
1010464,groupB,chi sa quanto mi ci sarei divertito se non avessi avuto quella maledetta coda di paglia
1001659,groupO1,non è vita se non la si può condividere con le persone care l'eterna solitudine non e vita ma una galera senza
1001793,groupO1,una mente in gabbia
1008379,groupO2,nessun dolore più grande che ricordarsi del periodo felicenella semplicità
1009265,groupO1,l'occhio storto di mattia rappresenta per lui un secondo punto di vista per vedere ciò che lo circonda in modo differente
1011821,groupB,nel tenerle tra le mie braccia sentii un impercettibile eccitazione
1010414,groupB,avevo lasciato aperta la gelosia aperti gli scuri
1012384,groupO2,la biblioteca pulsione di vita scrivere per vivere
1013284,groupO1,elisa lucia anagramma:l'amore mi da atti
1007489,groupO2,anche lui youngpope in crisi d'identità vuoi che io ne sia esente pirandello
1009461,groupB,noi abbiamo bisogno d'incolpar sempre qualcuno dei nostri danni e delle nostre sciagure
1012610,groupO1,come mi ero illuso che potesse vivere un tronco reciso dalle sue radici
1010624,groupB,via ripetta penso a mattia e a clara sereni anche a un trancio di focaccia due anni fa
1008877,groupO2,eppure volevi solo vivere
1001907,groupA,come mi ero illuso che potesse vivere un tronco reciso dalle sue radici
1008030,groupO2,di brutto aspetto senza padre ed una zia cattiva la vita agiata non gli mancava come anche il vuoto nella sua vita
1008267,groupA,impigliat tra il cuo ee la men esi c la la vita
1012841,groupO1,mattia si libererà di quel tristo odioso fantoccio che lui stesso ha creato
1000539,groupO1,il fantasma di stia o lo zombie boh non so come chiamarlo mattia
1008748,groupO2,l'uomo un granello di sabbia nel mare ma con l'idea di essere il più importante
1013530,groupO2,mi chiamo mattia pascal
1012827,groupO1,mattia ormai si sta rendendo conto che è la sua ombra è quella che lo fa spaventare di più
1001593,groupO1,il più grande spettacolo dopo il big bang siamo noi
1004442,groupO1,l'invidia aggredisce l'animo di mattia verso le persone comuni che non sanno della penosa precarietà della sua vita
1013423,groupO2,la realtà che supera la fantasia
1004582,groupB,il protagonista vive in uno stato di nonvita difficile cogliere la verità sfugge
1006985,groupO1,zia scolastica rappresenta una figura guida per la cognata vedova fragile e rassegnata
1003780,groupA,a drianad imorar omai ntrusoa cqua santieren essunoo cchiom attiae mozionii nterventos olitudine
1012403,groupO2,e se fossimo davvero piccole luci capaci però di illuminare questo mondo rendendolo un
1008896,groupO2,la rivoluzione copernicana per mattia aveva sconvolto l'umanità invece aveva incominciato a far girare i cervelli
1008380,groupO2,ah un paio d'ali come mi sentivo leggero
1011236,groupO2,xvi
1014107,groupO2,giro intorno ai topi come la terra intorno al sole ilmiogatto pancrazio tom jerry
1011039,groupO2,le anime hanno un loro particolar modo d'intendersi d'entrare in intimità fino a darsi del tu pag
1012826,groupO1,mattia non torna a casa e rincomincia la vita in un altro paese con un altra famiglia
