ID,Group,Text
1011219,groupO2,proprio perchè il mondo è un teatro signora mia e dunque si è protagonisti di un'unica grande tragicomica pupazzat
1002653,groupB,duninforma il violento malagna rende la donna oggetto come macchina atta a procreare
1009630,groupA,noi abbiamo bisogno d'incolpare sempre qualcuno dei nostri danni e delle nostre sciagure
1003090,groupA,mi è sembrata una fortuna l'essere creduto morto ebbene son morto davvero sono vivo per la m
1000711,groupO1,leggerei questo libro anche solo per i nomi dei personaggi reb
1004498,groupB,e in questo romanzo non può mancare la classica zia zitellona e bisbetica chissà magari per la fine del libro
1006452,groupB,tra tutti i cittadini di miragno proprio me dovevano far morire forseèmeglio
1000182,groupO2,questo fatto di avere più identità mi crea un po di confusione lo confesso
1013431,groupA,aprire la finestra sul mondo e accorgersi di non poter vivere
1012058,groupO2,mattia è unuomochenonconoscesèstessosprecandoilpatrimoniodelpadrecomesuccedeinquestiultimiannitranoigiovani
1013487,groupO2,fu davvero doloroso rinunciare a lei
1001300,groupO1,il bacio
1005796,groupB,libertà libertà ma pure non sarebbe lo stesso anche altrove
1008226,groupA,rimasto basito dopo aver rivisto con i suoi occhi il fratello redivivo
1005897,groupB,la boule ferma nel suo veloce girare contraddizione simbolica della precaria ed enigmatica
1009330,groupO1,nonostante il suo atto di coraggio mattia è costretto a nascondersi nell'ombra per evitare di finire sui giornali
1010549,groupB,siamo o non siamo su un invisibile trottolina cui fa da frezza in fil di sole su un granellino di sabbia impazzito
1004305,groupB,pomino fatti due domande se sei l'unico single sono sposati addirittura mattia e malagna di una bellezza devastante
1010895,groupO2,mi levai stirai le braccia e trassi un lunghossimo respiro di sollievo
1002864,groupA,adriano meis si rese conto che conducendo una vita misteriosa e silenziosa aumentava la curiosità degli altri
1009018,groupA,darei tutti i miei giorni per un unico ieri
1013353,groupO1,tanto se dritto quest'occhionon m'avrebbe fatto bello ero pieno di salute e mibastava
1001761,groupO1,perchè allontanarsi dai problemi altrui senza intendersene giustificandosi dicendo il proprio nome
1002909,groupA,ecco la nostra piccola cagnetta minerva
1003451,groupB,vivrò con me e di me come ho vissuto finora
1009959,groupB,una libertà violata cambia la vita
1003210,groupO2,mattia mancato duello il biglietto salvifico menzogna giada
1006685,groupO2,mentre di sera guardando il fiume mi godo un po di libertà arriva papiano una talpa un'altra cos'altro m'attende
1008401,groupO2,chi vorrebbe una zia bisbetica come la zia scolastica di mattia pascal
1007001,groupO2,de la richesse la misère mattia reste orphelin avec une mère inepte e il est souiller p
1006538,groupB,che fatica esser donne gli uomini non ne hanno la minima idea
1006312,groupA,alla ricerca dell'identità che non c'è lol
1005330,groupB,mattia butterai mai quell'anello che ti lega al passato
1010753,groupO2,se fosse lui il passato ritorna e vi tormenta entrambi
1002670,groupB,è inquietante il fatto che paleari sia interessato molto più alla morte che alla vita
